from_name,message,created_time,link,likes_count,comments_count,shares_count,title,z_like,z_comments,z_shares,date,time
PTT01 娛樂新聞,馬大哥太愛孩子才會這麼嚴格啦！,2016-12-30T08:00:00+0000,http://cool.ptt01.cc/post_12992,837,1,10,"
                        演活流氓角色的「馬如龍」，對孩子管教超嚴格，居然因為「這件事」直接把兒子趕出家門！
                    ",-0.381333581,-0.315189268,-0.345895712,1230,8
PTT01 娛樂新聞,養雞場主人該去買樂透了,2016-12-30T05:00:00+0000,http://cool.ptt01.cc/post_13018,2346,15,176,"
                        母雞竟生出20公分巨蛋！敲開一看飼主驚呼：幾十萬分之一的機率！
                    ",0.320152856,-0.017482498,0.060126353,1230,5
PTT01 娛樂新聞,加起司片也超好吃~~,2016-12-30T03:00:00+0000,http://cool.ptt01.cc/post_12982,199,0,6,"
                        煮「韓國拉麵」要加牛奶才好吃？！Selina得知真相後，才發現自己被「陷害」了...
                    ",-0.67791963,-0.336454037,-0.355679376,1230,3
PTT01 娛樂新聞,想「恩愛」時怎麼辦？,2016-12-29T23:01:00+0000,http://cool.ptt01.cc/post_13013,354,8,24,"
                        法國少女「人機戀」，訂婚後生活是這般…專家：2050年後很正常！
                    ",-0.605865026,-0.166335883,-0.311652887,1229,23
PTT01 娛樂新聞,老闆娘做得好！他的人生完全被改變了！,2016-12-29T22:01:00+0000,http://cool.ptt01.cc/post_12957,417,1,34,"
                        這位有前科的遊民被好心的咖啡廳老闆娘雇用，領到薪水後做的第一件事…對他來說意義非凡！
                    ",-0.576578315,-0.315189268,-0.287193727,1229,22
PTT01 娛樂新聞,爸爸的烏龍搞大了！,2016-12-29T18:31:01+0000,http://cool.ptt01.cc/post_13001,1077,3,38,"
                        女孩的慶生趴被擠爆，全因老爸少了一個步驟…意外成了眾星拱月的壽星！
                    ",-0.269765162,-0.272659729,-0.277410062,1229,18
PTT01 娛樂新聞,看來美國人對新總統還是很不滿意啊！,2016-12-29T12:21:01+0000,http://cool.ptt01.cc/post_12938,951,8,8,"
                        「妳爸正在毀滅美國！」川普女兒搭機遭嗆，最後罵人乘客的下場則是「這樣」！
                    ",-0.328338582,-0.166335883,-0.350787544,1229,12
PTT01 娛樂新聞,帶小孩真的很辛苦啊！,2016-12-29T10:00:00+0000,http://cool.ptt01.cc/post_12622,1607,18,118,"
                        曾抱怨岳母愛拿錢，壓力大到差點離婚！黃鐙輝親自帶小孩後大轉念，直呼給錢是「天經地義」！
                    ",-0.023384902,0.04631181,-0.081736778,1229,10
PTT01 娛樂新聞,喜歡安靜的人一定要買！,2016-12-29T06:01:00+0000,http://cool.ptt01.cc/post_12947,4324,78,958,"
                        這是一張絕對隱密的「床帳篷」，只要拉上拉鍊…外面世界的紛紛擾擾完全跟我無關的感覺實在有夠讚！
                    ",1.239662579,1.322197966,1.972832704,1229,6
PTT01 娛樂新聞,氣候異常的問題不容忽視,2016-12-29T02:01:00+0000,http://cool.ptt01.cc/post_13004,886,13,120,"
                        離譜！沙漠下雪、北極圈沒有雪，惹得北極熊呆坐原地發呆
                    ",-0.358555029,-0.060012037,-0.076844946,1229,2
PTT01 娛樂新聞,歐弟的老婆和女兒都好美<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>,2016-12-28T23:01:00+0000,http://cool.ptt01.cc/post_12999,1535,0,18,"
                        聖誕節也是「明星們難得曬娃的日子」連諾一都跑去找夏天玩了！
                    ",-0.056855428,-0.336454037,-0.326328383,1228,23
PTT01 娛樂新聞,餐盤上成了鳥兒約會的最佳場所<ed><U+00A0><U+00BD><ed><U+00B2><U+0096>,2016-12-28T22:01:00+0000,http://cool.ptt01.cc/post_12997,351,0,20,"
                        女屋主在門窗前擺了盤大餐，結果引來一大群吃貨鳥亮相…就連「憤怒鳥」都出現了！
                    ",-0.607259631,-0.336454037,-0.321436551,1228,22
PTT01 娛樂新聞,收到這禮物真的會氣死<ed><U+00A0><U+00BD><ed><U+00B8><U+0082>,2016-12-28T18:30:01+0000,http://cool.ptt01.cc/post_12985,126,1,10,"
                        男孩開心打開「聖誕老公公送的禮物」結果下一秒「不能再愛了」...
                    ",-0.711855024,-0.315189268,-0.345895712,1228,18
PTT01 娛樂新聞,別人家小孩94狂！,2016-12-28T17:41:00+0000,http://cool.ptt01.cc/post_12988,1425,14,234,"
                        21張照片證明「養小孩絕對不會讓你感到無聊」#7.有當凶手的潛力
                    ",-0.107990954,-0.038747267,0.201989484,1228,17
PTT01 娛樂新聞,這唱腔超難模仿的！,2016-12-28T14:41:00+0000,http://cool.ptt01.cc/post_12843,85,0,4,"
                        她是台語界的「苦情歌后」，以一首《金包銀》爆紅，卻因唱腔特殊，曾想過要退出歌壇...
                    ",-0.730914629,-0.336454037,-0.360571208,1228,14
PTT01 娛樂新聞,這就是社會的黑暗面！,2016-12-28T14:01:00+0000,http://cool.ptt01.cc/post_12986,162,0,22,"
                        阿根廷爆發聾啞學生慘遭神父下毒手醜聞，離譜情節堪稱《驚爆焦點》與《熔爐》結合
                    ",-0.695119761,-0.336454037,-0.316544719,1228,14
PTT01 娛樂新聞,居然佈了一個這麼大的局，好可怕的鄰居！,2016-12-28T13:01:00+0000,http://cool.ptt01.cc/post_12937,2451,27,294,"
                        因為鄰居反對她加蓋房子，她就在鄰居家附近種一排樹，開始長達20年的復仇計畫！
                    ",0.368964039,0.237694733,0.348744447,1228,13
PTT01 娛樂新聞,這是奇蹟啊<ed><U+00A0><U+00BD><ed><U+00B9><U+008F>,2016-12-28T12:21:00+0000,http://cool.ptt01.cc/post_12993,418,0,30,"
                        這堵牆不斷傳出奇怪的歌聲，最後在好奇村民破牆以後皆嚇出一身冷汗
                    ",-0.576113447,-0.336454037,-0.296977391,1228,12
PTT01 娛樂新聞,穿上警察制服值勤根本誘人犯罪！,2016-12-28T11:21:00+0000,http://cool.ptt01.cc/post_12935,2765,9,174,"
                        被警察局收編的浪貓產下一批「生力軍」，穿上迷你號制服犯規到我自告奮勇被逮捕！
                    ",0.514932721,-0.145071114,0.055234521,1228,11
PTT01 娛樂新聞,反正瑤瑤還年輕不急啦！,2016-12-28T08:01:00+0000,http://cool.ptt01.cc/post_12901,380,0,2,"
                        郭書瑤跟男友穩定交往多年，但因這個「原因」，決定再延6年才考慮結婚...
                    ",-0.593778447,-0.336454037,-0.36546304,1228,8
PTT01 娛樂新聞,不能同年同月同日生，但願同年同月同日死ＱＱ,2016-12-28T05:01:00+0000,http://cool.ptt01.cc/post_12983,1661,9,186,"
                        結褵近64年的老夫妻在病床上手牽手走完人生旅程，讓人看到何謂「牽手」
                    ",0.001717992,-0.145071114,0.084585513,1228,5
PTT01 娛樂新聞,李仁哥好帥啊~,2016-12-28T02:01:00+0000,http://cool.ptt01.cc/post_12858,2565,10,28,"
                        陶晶瑩26年前出道被定位成「醜女」，李李仁霸氣護妻「在我心中，她永遠最美！」
                    ",0.421959039,-0.123806344,-0.301869223,1228,2
PTT01 娛樂新聞,知錯能改 善莫大焉！,2016-12-28T01:01:00+0000,http://cool.ptt01.cc/post_12964,5492,32,232,"
                        他4歲就出道，被譽為是「天才童星」，卻因綁架擄人被判「死刑」！這一輩子最大的遺憾，就是「這個」！
                    ",1.782628887,0.34401858,0.197097651,1228,1
PTT01 娛樂新聞,媽媽作夢也沒想到兒子這麼貼心<ed><U+00A0><U+00BD><ed><U+00B2><U+0096>,2016-12-27T23:01:00+0000,http://cool.ptt01.cc/post_12990,528,3,26,"
                        為了感激媽媽多年來的付出，這對兄弟存了十年的積蓄送上大禮孝敬母親
                    ",-0.524977921,-0.272659729,-0.306761055,1227,23
PTT01 娛樂新聞,狗永遠是狗，但人有時不是人,2016-12-27T13:41:00+0000,http://cool.ptt01.cc/post_12970,1709,108,504,"
                        母狗生完一窩小狗後，竟被主人暴打拋棄，理由讓所有人都憤怒...
                    ",0.024031676,1.960141045,0.862386817,1227,13
PTT01 娛樂新聞,雖然家人讓人很心寒，但壽星遇到了一群超棒的陌生人！,2016-12-27T13:01:00+0000,http://cool.ptt01.cc/post_12931,1886,19,146,"
                        61歲壽星孤獨坐在餐桌前，因為他的家人都沒來，傷心的他站起來提出一個要求…接下來的場面HIGH翻了！
                    ",0.106313385,0.067576579,-0.013251129,1227,13
PTT01 娛樂新聞,女兒真的好漂亮啦~~~~,2016-12-27T12:21:00+0000,http://cool.ptt01.cc/post_12977,3000,17,80,"
                        邱淑貞15歲女兒也太正！神複製媽媽臉蛋和身材，網友直呼「要戀愛啦！」
                    ",0.624176799,0.02504704,-0.174681588,1227,12
PTT01 娛樂新聞,和我想像的完全不一樣<ed><U+00A0><U+00BD><ed><U+00B8><U+00B1>,2016-12-27T07:01:00+0000,http://cool.ptt01.cc/post_12976,2723,31,1250,"
                        變色龍超珍貴生產畫面！看到胎兒「飛出去」的那一瞬間太神了
                    ",0.495408248,0.32275381,2.687040191,1227,7
PTT01 娛樂新聞,這根本是八點檔的狗血劇情,2016-12-27T06:01:00+0000,http://cool.ptt01.cc/post_12979,302,0,6,"
                        女方與前男友的一張豔照，讓這場浪漫婚禮頓時成了格鬥場
                    ",-0.630038183,-0.336454037,-0.355679376,1227,6
PTT01 娛樂新聞,共犯：唉～遇上豬隊友<ed><U+00A0><U+00BD><ed><U+00B0><U+00BD>,2016-12-27T05:01:00+0000,http://cool.ptt01.cc/post_12973,729,1,14,"
                        一張炫富照讓她被檢方盯上，結果這名女華爾街之狼在過不久後啷噹入獄
                    ",-0.43153937,-0.315189268,-0.336112048,1227,5
PTT01 娛樂新聞,小編給87分不能再高了！,2016-12-27T02:01:00+0000,http://cool.ptt01.cc/post_12963,3361,39,114,"
                        金正恩愛護人民，送水產給士兵們加菜，沒想到卻讓阿兵哥們痛苦不已...
                    ",0.791994296,0.492871965,-0.091520442,1227,2
PTT01 娛樂新聞,戲精哈士奇，表情滿滿的都是戲啊！,2016-12-27T01:01:00+0000,http://cool.ptt01.cc/post_12917,1709,6,138,"
                        面對新來的成員，二哈的「臭臉」已經說明一切，當弟弟把頭靠在牠身上…經典「厭世」表情害主人笑到沒力！
                    ",0.024031676,-0.208865422,-0.032818457,1227,1
